finalId,cellPhonesId
4,0
5,1
6,2
7,3
8,4
265,5
338,6
9,7
193,8
266,9
10,10
339,11
11,12
267,13
340,14
12,15
194,16
341,17
268,18
342,19
343,20
13,21
14,22
344,23
60,24
264,25
61,26
2,27
66,28
345,29
195,30
346,31
196,32
197,33
347,34
348,35
198,36
349,37
67,38
68,39
65,40
199,41
350,42
69,43
200,44
351,45
15,46
269,47
16,48
201,49
70,50
71,51
270,52
352,53
17,54
336,55
202,56
72,57
353,58
73,59
354,60
74,61
18,62
271,63
203,64
355,65
75,66
356,67
357,68
272,69
204,70
76,71
358,72
359,73
19,74
205,75
0,76
334,77
206,78
331,79
20,80
207,81
360,82
208,83
361,84
273,85
77,86
362,87
274,88
363,89
78,90
21,91
275,92
276,93
79,94
209,95
332,96
364,97
365,98
327,99
80,100
366,101
81,102
277,103
367,104
368,105
278,106
210,107
369,108
337,109
82,110
370,111
83,112
84,113
22,114
279,115
371,116
372,117
373,118
23,119
85,120
24,121
280,122
374,123
375,124
25,125
26,126
376,127
27,128
377,129
378,130
211,131
379,132
86,133
380,134
381,135
192,136
382,137
383,138
384,139
385,140
386,141
212,142
281,143
387,144
388,145
389,146
390,147
391,148
28,149
29,150
87,151
30,152
392,153
393,154
394,155
395,156
396,157
31,158
327,159
397,160
213,161
88,162
398,163
399,164
400,165
401,166
402,167
403,168
32,169
404,170
405,171
33,172
406,173
282,174
407,175
89,176
90,177
408,178
409,179
410,180
411,181
412,182
214,183
413,184
414,185
34,186
91,187
330,188
415,189
283,190
92,191
215,192
35,193
416,194
36,195
417,196
93,197
418,198
94,199
419,200
216,201
420,202
421,203
37,204
217,205
422,206
423,207
95,208
218,209
424,210
425,211
219,212
38,213
426,214
96,215
39,216
427,217
220,218
428,219
97,220
40,221
98,222
41,223
99,224
100,225
221,226
429,227
430,228
222,229
431,230
432,231
223,232
433,233
224,234
101,235
434,236
102,237
435,238
436,239
437,240
